summary,start,end,categories,description,zones 
Journée mondiale de l'océan,2015-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Dernier Quartier,2015-06-09,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2015-06-16,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Appel du 18 juin 1940 — Anniversaire,2015-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Début de l'Été — Solstice d'été,2015-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2015-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Fête des Pères,2015-06-21,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Jour le plus long de l'année,2015-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2015.,
Premier Quartier,2015-06-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête du Cinéma,2015-06-28,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Milieu de l'année,2015-07-02,,Dates spéciales,Ce jour marque le point médian exact de l'année 2015.,
Pleine Lune,2015-07-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Festival d'Avignon — Ouverture,2015-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Dernier Quartier,2015-07-08,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Commémoration de la Rafle du Vél d'Hiv,2015-07-12,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Pont possible — Fête nationale,2015-07-13,,Ponts / Congés,Fête nationale tombe un mardi le 14/07/2015. Le lundi 13/07/2015 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête Nationale,2015-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2015-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Nouvelle Lune,2015-07-16,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2015-07-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2015-07-31,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Nuit des Étoiles,2015-08-01,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Dernier Quartier,2015-08-07,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2015-08-14,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Assomption,2015-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2015-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Premier Quartier,2015-08-22,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2015-08-29,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Rentrée des classes,2015-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Braderie de Lille,2015-09-05,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Dernier Quartier,2015-09-05,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2015-09-13,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journées du Patrimoine,2015-09-19,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Premier Quartier,2015-09-21,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale sans voiture,2015-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Début de l'Automne — Équinoxe d'automne,2015-09-23,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Pleine Lune,2015-09-28,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale du cacao et du chocolat,2015-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2015-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Nuit Blanche,2015-10-03,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Dernier Quartier,2015-10-04,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête des Grands-Pères,2015-10-04,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Journée mondiale de la santé mentale,2015-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Semaine du Goût,2015-10-12,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Nouvelle Lune,2015-10-13,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée mondiale de l'alimentation,2015-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
Premier Quartier,2015-10-20,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Passage à l'heure d'hiver,2015-10-25,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Pleine Lune,2015-10-27,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Halloween,2015-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Lancement du Mois sans Tabac,2015-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2015-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Dernier Quartier,2015-11-03,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée nationale de l'arbre,2015-11-05,,Environnement,Célébrée chaque premier jeudi de novembre.,
Armistice 1918,2015-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2015-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Nouvelle Lune,2015-11-11,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Beaujolais Nouveau,2015-11-19,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Premier Quartier,2015-11-19,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée internationale des droits de l'enfant,2015-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Pleine Lune,2015-11-25,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête de la Bretagne,2015-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Dernier Quartier,2015-12-03,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale des personnes handicapées,2015-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2015-12-05,,Société,Créée par l'ONU en 1985.,
Saint-Nicolas,2015-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Journée de la Laïcité,2015-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Nouvelle Lune,2015-12-11,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2015-12-18,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Début de l'Hiver — Solstice d'hiver,2015-12-22,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2015-12-22,,Saisons|Astronomie,Le 22 December est le jour le plus court de l'année 2015.,
Noël,2015-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Pleine Lune,2015-12-25,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Étienne,2015-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Année avec 53e semaine ISO,2015-12-28,,Dates spéciales,L'année 2015 comporte une semaine 53 dans le calendrier ISO.,
Dernier jour de l'année,2015-12-31,,Dates spéciales,Clôture de l'année civile 2015.,
Saint-Sylvestre / Réveillon du Nouvel An,2015-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2016-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Dernier Quartier,2016-01-02,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Épiphanie,2016-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Nouvelle Lune,2016-01-10,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2016-01-17,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée internationale de l'Éducation,2016-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Pleine Lune,2016-01-24,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée nationale de la Mémoire de la Shoah,2016-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Dernier Quartier,2016-02-01,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Chandeleur,2016-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2016-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2016-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Nouvelle Lune,2016-02-08,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Mardi Gras,2016-02-09,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2016-02-10,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Saint-Valentin,2016-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Premier Quartier,2016-02-15,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2016-02-22,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Salon de l'Agriculture — Ouverture,2016-02-27,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Jour supplémentaire (année bissextile),2016-02-29,,Dates spéciales,"Une année solaire dure 365,2422 jours. 2016 est l'une des années rares à 366 jours.",
Dernier Quartier,2016-03-02,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête des Grands-Mères,2016-03-06,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Journée internationale des femmes,2016-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Nouvelle Lune,2016-03-09,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2016-03-15,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Saint-Patrick,2016-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Dimanche des Rameaux,2016-03-20,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Début du Printemps — Équinoxe de printemps,2016-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2016-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2016-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Pleine Lune,2016-03-23,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2016-03-25,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2016-03-25,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Passage à l'heure d'été,2016-03-27,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Pâques,2016-03-27,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2016-03-28,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Dernier Quartier,2016-03-31,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Poisson d'avril,2016-04-01,,Culture,Journée des farces et des canulars.,
Journée mondiale de la Santé,2016-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Nouvelle Lune,2016-04-07,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2016-04-14,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Jour de la Terre,2016-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Pleine Lune,2016-04-22,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2016-04-30,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête du Travail,2016-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Ascension,2016-05-05,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Nouvelle Lune,2016-05-06,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Pont possible — Ascension,2016-05-06,,Ponts / Congés,Ascension tombe un jeudi le 05/05/2016. Le vendredi 06/05/2016 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête de la Victoire 1945,2016-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Abolition de l'esclavage en France — Commémoration,2016-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Premier Quartier,2016-05-13,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Festival de Cannes — Ouverture,2016-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Pentecôte,2016-05-15,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2016-05-16,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Nuit des Musées,2016-05-21,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Pleine Lune,2016-05-21,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale de la biodiversité,2016-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Fête des Voisins,2016-05-27,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Journée nationale de la Résistance,2016-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Dernier Quartier,2016-05-29,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête des Mères,2016-05-29,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Journée mondiale sans tabac,2016-05-31,,Santé,Lancée par l'OMS en 1987.,
Nouvelle Lune,2016-06-05,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Débarquement en Normandie — Commémoration du Jour J,2016-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Journée mondiale de l'océan,2016-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Premier Quartier,2016-06-12,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Appel du 18 juin 1940 — Anniversaire,2016-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Fête des Pères,2016-06-19,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Début de l'Été — Solstice d'été,2016-06-20,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Jour le plus long de l'année,2016-06-20,,Saisons|Astronomie,Le 20 June est le jour le plus long de l'année 2016.,
Pleine Lune,2016-06-20,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête de la Musique,2016-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Fête du Cinéma,2016-06-26,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Dernier Quartier,2016-06-27,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Milieu de l'année,2016-07-01,,Dates spéciales,Ce jour marque le point médian exact de l'année 2016.,
Nouvelle Lune,2016-07-04,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Festival d'Avignon — Ouverture,2016-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Commémoration de la Rafle du Vél d'Hiv,2016-07-10,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Premier Quartier,2016-07-12,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête Nationale,2016-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2016-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Pont possible — Fête nationale,2016-07-15,,Ponts / Congés,Fête nationale tombe un jeudi le 14/07/2016. Le vendredi 15/07/2016 est un pont potentiel — vérifiez auprès de votre employeur.,
Pleine Lune,2016-07-20,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2016-07-27,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2016-08-02,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Nuit des Étoiles,2016-08-06,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Premier Quartier,2016-08-10,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Assomption,2016-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2016-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Pleine Lune,2016-08-18,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2016-08-25,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2016-09-01,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Rentrée des classes,2016-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Braderie de Lille,2016-09-03,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Premier Quartier,2016-09-09,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2016-09-16,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journées du Patrimoine,2016-09-17,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Début de l'Automne — Équinoxe d'automne,2016-09-22,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Journée mondiale sans voiture,2016-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Dernier Quartier,2016-09-23,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale du cacao et du chocolat,2016-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2016-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Nouvelle Lune,2016-10-01,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Nuit Blanche,2016-10-01,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Fête des Grands-Pères,2016-10-02,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Premier Quartier,2016-10-09,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale de la santé mentale,2016-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Semaine du Goût,2016-10-10,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Journée mondiale de l'alimentation,2016-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
Pleine Lune,2016-10-16,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2016-10-22,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2016-10-30,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Passage à l'heure d'hiver,2016-10-30,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Halloween,2016-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Pont possible — Toussaint,2016-10-31,,Ponts / Congés,Toussaint tombe un mardi le 01/11/2016. Le lundi 31/10/2016 est un pont potentiel — vérifiez auprès de votre employeur.,
Lancement du Mois sans Tabac,2016-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2016-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Journée nationale de l'arbre,2016-11-03,,Environnement,Célébrée chaque premier jeudi de novembre.,
Premier Quartier,2016-11-07,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Armistice 1918,2016-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2016-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Pleine Lune,2016-11-14,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Beaujolais Nouveau,2016-11-17,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Journée internationale des droits de l'enfant,2016-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Dernier Quartier,2016-11-21,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2016-11-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête de la Bretagne,2016-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Journée mondiale des personnes handicapées,2016-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2016-12-05,,Société,Créée par l'ONU en 1985.,
Saint-Nicolas,2016-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Premier Quartier,2016-12-07,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée de la Laïcité,2016-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Pleine Lune,2016-12-14,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2016-12-21,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début de l'Hiver — Solstice d'hiver,2016-12-21,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
